seqName,deer_outbreak_id,deer_lineage,deer_origin
hCoV-19/deer/USA/KS-22-007926-004/2021/EPI_ISL_16388460/2021-12-13,KS_deer,AY.39,human_derived
hCoV-19/deer/USA/KS-22-010212-007/2021/EPI_ISL_17810984/2021-12-13,KS_deer,AY.39,human_derived
hCoV-19/deer/USA/NC-22-002350-001/2021/EPI_ISL_16316155/2021-11-20,NC_deer,AY.39,human_derived
hCoV-19/deer/USA/NC-22-002350-004/2021/EPI_ISL_16316157/2021-11-20,NC_deer,AY.39,human_derived
hCoV-19/deer/USA/NJ-22-007926-002/2022/EPI_ISL_16372333/2022-01-06,NJ_deer,AY.39,human_derived
hCoV-19/deer/USA/NJ-22-007926-016/2022/EPI_ISL_16372334/2022-01-04,NJ_deer,AY.39,human_derived
hCoV-19/deer/USA/NJ-22-007926-017/2022/EPI_ISL_16372335/2022-02-14,NJ_deer,AY.39,human_derived
hCoV-19/deer/USA/NJ-22-007926-021/2022/EPI_ISL_17810975/2022-01-06,NJ_deer,AY.39,human_derived
hCoV-19/deer/USA/NJ-22-007926-030/2022/EPI_ISL_16388468/2022-01-31,NJ_deer,AY.39,human_derived
hCoV-19/deer/USA/NJ-22-007926-032/2022/EPI_ISL_16388469/2022-01-20,NJ_deer,AY.39,human_derived
hCoV-19/deer/USA/NJ-22-010212-004/2022/EPI_ISL_17810978/2022-01-06,NJ_deer,AY.39,human_derived
hCoV-19/deer/USA/NJ-22-010212-015/2022/EPI_ISL_17810974/2022-01-06,NJ_deer,AY.39,human_derived
hCoV-19/deer/USA/NJ-22-011177-015/2022/EPI_ISL_16429132/2022-02-07,NJ_deer,AY.39,human_derived
hCoV-19/deer/USA/NJ-22-011177-025/2022/EPI_ISL_16429134/2022-02-14,NJ_deer,AY.39,human_derived
hCoV-19/deer/USA/NY-2089/2022/EPI_ISL_10347096/2022-01-16,NY_deer1,AY.39,human_derived
hCoV-19/deer/USA/NY-2103/2022/EPI_ISL_10436384/2022-01-18,NY_deer1,AY.39,human_derived
hCoV-19/deer/USA/NY-2108/2022/EPI_ISL_10347094/2022-01-27,NY_deer1,AY.39,human_derived
hCoV-19/deer/USA/NY-2125/2022/EPI_ISL_10347095/2022-01-30,NY_deer1,AY.39,human_derived
hCoV-19/deer/USA/NY-22-006202-049/2021/EPI_ISL_16366930/2021-11-20,NY_deer2,AY.39,human_derived
hCoV-19/deer/USA/NY-22-007926-026/2022/EPI_ISL_16372336/2022-01-05,NY_deer3,AY.39,human_derived
hCoV-19/deer/USA/NY-WTD_165887/2021/EPI_ISL_13610624/2021-11-01,NY_deer4,AY.39,human_derived
hCoV-19/deer/USA/PA-22-000890-002/2021/EPI_ISL_16297228/2021-12-10,PA_deer,AY.39,human_derived
hCoV-19/deer/USA/TN-22-007926-024/2021/EPI_ISL_16388467/2021-12-12,TN_deer,AY.39,human_derived
hCoV-19/deer/USA/TN-22-010212-017/2021/EPI_ISL_16467169/2021-12-12,TN_deer,AY.39,human_derived
hCoV-19/deer/USA/WI/23-031606-059s/2023-01-05,WI_deer,AY.39,mink_derived
hCoV-19/deer/USA/WI/23-031606-060s/2023-01-05,WI_deer,AY.39,mink_derived
hCoV-19/deer/USA/WI/23-031606-061s/2023-01-05,WI_deer,AY.39,mink_derived
hCoV-19/deer/USA/WI/23-031606-121s/2022-12-04,WI_deer,AY.39,mink_derived
